Date,Time,CC,Description,Price,Qty,Watch,Impl. Vol,Type,Strategy,Sub Type,Side,Product,RFQ,Add Deal,Undrl. Bid,Undrl. Offer,Δ,Category
8/17/2020,18:00:49,GE,Dec20 99.875/100.000 CS,0.5,50,,,Trade,CS,Trade,,Eurodollar Option,,,99.715,99.72,,Eurodollar and SOFR Options
8/18/2020,16:56:04,GE,Dec21 99.500 Put,4,499,,29.06,Trade,Put,Trade,,Eurodollar Option,,,99.765,99.77,-0.21,Eurodollar and SOFR Options
8/19/2020,16:48:23,GE2,Oct20 99.750/99.625/99.500 PTREE vs Eurodollar Future Dec22 99.730 +0.25d,2.5,131,,36.65,Trade,PTREE,Trade,,Eurodollar Option 2-Year MC,,,99.72,99.725,-0.05,Eurodollar and SOFR Options
8/20/2020,16:48:10,GE2,Oct20 99.750/99.625/99.500 PTREE vs Eurodollar Future Dec22 99.730 +0.25d,2.5,69,,36.65,Trade,PTREE,Trade,,Eurodollar Option 2-Year MC,,,99.72,99.725,-0.05,Eurodollar and SOFR Options
8/21/2020,16:47:53,GE2,Oct20 99.750/99.625/99.500 PTREE vs Eurodollar Future Dec22 99.730 +0.25d,2.5,50,,36.65,Trade,PTREE,Trade,,Eurodollar Option 2-Year MC,,,99.72,99.725,-0.05,Eurodollar and SOFR Options
8/22/2020,16:45:20,GE2,Oct20 99.750/99.625/99.500 PTREE vs Eurodollar Future Dec22 99.730 +0.25d,2.5,250,,36.65,Trade,PTREE,Trade,,Eurodollar Option 2-Year MC,,,99.72,99.725,-0.05,Eurodollar and SOFR Options
8/23/2020,16:32:38,GE,Jun21 99.500/99.750/100.000 CFLY,16,100,,,Trade,CFLY,Trade,,Eurodollar Option,,,99.8,99.805,,Eurodollar and SOFR Options
8/24/2020,16:19:20,GE,Sep20 98.7500 Call,101.5,100,,,Trade,Call,Trade,,Eurodollar Option,,,99.765,99.77,,Eurodollar and SOFR Options
8/25/2020,16:17:18,GE2,Sep20 99.625 Put vs Eurodollar Future Sep22 99.740 +0.10d,1,"2,000",,,Cross,Put,Cross,,Eurodollar Option 2-Year MC,,,,,,Eurodollar and SOFR Options
8/26/2020,16:17:18,GE2,Sep20 99.625 Put vs Eurodollar Future Sep22 99.740 +0.10d,1,"2,000",,44.57,Trade,Put,Trade,,Eurodollar Option 2-Year MC,,,99.755,99.76,-0.06,Eurodollar and SOFR Options
8/27/2020,16:07:45,GE,Jun21 99.625 Put,2,50,,21.83,Trade,Put,Trade,,Eurodollar Option,,,99.8,99.805,-0.19,Eurodollar and SOFR Options
8/28/2020,16:07:12,GE,Jun21 99.625 Put,2,250,,21.83,Trade,Put,Trade,,Eurodollar Option,,,99.8,99.805,-0.19,Eurodollar and SOFR Options
8/29/2020,16:06:19,GE,"+1 Sep21 99.125 P, +1 Dec21 98.750 P",2.5,"1,000",,,Trade,Custom,Trade,,Eurodollar Option,,,99.795,99.8,,Eurodollar and SOFR Options
8/30/2020,16:03:44,GE,Dec20 99.625/99.750 STNGL,4.75,100,,,Trade,STNGL,Trade,,Eurodollar Option,,,99.715,99.72,,Eurodollar and SOFR Options
8/31/2020,15:38:25,GE0,"+1 GE0 Dec20 99.500 C, -1 GE0 Dec20 99.625 C, -1 GE0 Dec20 100.000 C, +1 GE0 Dec20 100.125 C, +1 GE2 Dec20 99.375 C, -1 GE2 Dec20 99.500 C, -1 GE2 Dec20 100.000 C, +1 GE2 Dec20 100.125 C",22,300,,,Trade,Custom,Trade,,Eurodollar Option 1-Year MC,,,99.77,99.775,,Eurodollar and SOFR Options
9/1/2020,15:32:47,GE,Dec20 99.500/99.000 PS 1x4,0,25,,,Trade,PS 1x4,Trade,,Eurodollar Option,,,99.715,99.72,,Eurodollar and SOFR Options
9/2/2020,15:27:56,GE,Dec20 99.500/99.000 PS 1x4,0,25,,,Trade,PS 1x4,Trade,,Eurodollar Option,,,99.715,99.72,,Eurodollar and SOFR Options
9/3/2020,15:27:42,GE,Dec20 99.500/99.000 PS 1x4,0,25,,,Trade,PS 1x4,Trade,,Eurodollar Option,,,99.715,99.72,,Eurodollar and SOFR Options
9/4/2020,15:01:49,GE,Dec22 98.500 Put,4,38,,60.67,Trade,Put,Trade,,Eurodollar Option,,,99.725,99.73,-0.09,Eurodollar and SOFR Options
9/5/2020,15:01:40,GE,Dec22 98.500 Put,4,163,,60.67,Trade,Put,Trade,,Eurodollar Option,,,99.725,99.73,-0.09,Eurodollar and SOFR Options
9/6/2020,14:53:03,GE,Dec21 99.500/100.000 STNGL,9.5,50,,,Trade,STNGL,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/7/2020,14:49:09,GE,"+1 Mar22 99.375 C, +1 Dec21 99.375 C, +1 Mar22 100.125 C, +1 Dec21 100.125 C, -2 Mar22 99.750 C, -2 Dec21 99.750 C",45.5,150,,,Trade,Custom,Trade,,Eurodollar Option,,,99.785,99.79,,Eurodollar and SOFR Options
9/8/2020,14:42:16,GE,Jun22 99.750/99.625/99.500/99.375 PCONDR,3,"1,556",,,Trade,PCONDR,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/9/2020,14:42:09,GE,Jun22 99.750/99.625/99.500/99.375 PCONDR,3,944,,,Trade,PCONDR,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/10/2020,14:42:06,GE,Jun22 99.750/99.625/99.500/99.375 PCONDR,3,"2,500",,,Trade,PCONDR,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/11/2020,14:41:54,GE,Jun22 99.750/99.625/99.500/99.375 PCONDR,3,"2,750",,,Trade,PCONDR,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/12/2020,14:41:38,GE,Jun22 99.750/99.625/99.500/99.375 PCONDR,3,"1,458",,,Trade,PCONDR,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/13/2020,14:41:31,GE,Jun22 99.750/99.625/99.500/99.375 PCONDR,3,542,,,Trade,PCONDR,Trade,,Eurodollar Option,,,99.77,99.775,,Eurodollar and SOFR Options
9/14/2020,14:02:31,GE0,Sep20 99.750 Put,1,230,,26.24,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,-0.25,Eurodollar and SOFR Options
9/15/2020,14:02:27,GE0,Sep20 99.750 Put,1,600,,26.24,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,-0.25,Eurodollar and SOFR Options
9/16/2020,14:02:14,GE0,Sep20 99.750 Put,1,250,,26.24,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,-0.25,Eurodollar and SOFR Options
9/17/2020,14:01:54,GE0,Sep20 99.750 Put,1,420,,26.24,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,-0.25,Eurodollar and SOFR Options
9/18/2020,14:01:40,GE0,Sep20 99.750 Put,1,"1,000",,26.24,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,-0.25,Eurodollar and SOFR Options
9/19/2020,14:01:04,GE0,Sep20 99.375 Put vs Eurodollar Future Sep21 99.785 +0.05d,0.25,"1,500",,82.91,Trade,Put,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,0.02,Eurodollar and SOFR Options
9/20/2020,13:07:09,GE,Nov20 99.625 Put,1.25,80,,22.53,Trade,Put,Trade,,Eurodollar Option,,,99.715,99.72,-0.2,Eurodollar and SOFR Options
